철수야 , 이 학생이 현우에게 후배를 소개했어 .
철수야 , 이 학생이 현우에게 후배를 소개했어요 .
철수야 , 이 학생이 현우에게 후배를 소개했습니다 .

철수야 , 이 학생이 현우에게 동생을 소개했어 .
철수야 , 이 학생이 현우에게 동생을 소개했어요 .
철수야 , 이 학생이 현우에게 동생을 소개했습니다 .

철수야 , 이 학생이 현우에게 친구를 소개했어 .
철수야 , 이 학생이 현우에게 친구를 소개했어요 .
철수야 , 이 학생이 현우에게 친구를 소개했습니다 .

철수야 , 이 학생이 현우에게 지인을 소개했어 .
철수야 , 이 학생이 현우에게 지인을 소개했어요 .
철수야 , 이 학생이 현우에게 지인을 소개했습니다 .

철수야 , 이 학생이 영호에게 후배를 소개했어 .
철수야 , 이 학생이 영호에게 후배를 소개했어요 .
철수야 , 이 학생이 영호에게 후배를 소개했습니다 .

철수야 , 이 학생이 영호에게 동생을 소개했어 .
철수야 , 이 학생이 영호에게 동생을 소개했어요 .
철수야 , 이 학생이 영호에게 동생을 소개했습니다 .

철수야 , 이 학생이 영호에게 친구를 소개했어 .
철수야 , 이 학생이 영호에게 친구를 소개했어요 .
철수야 , 이 학생이 영호에게 친구를 소개했습니다 .

철수야 , 이 학생이 영호에게 지인을 소개했어 .
철수야 , 이 학생이 영호에게 지인을 소개했어요 .
철수야 , 이 학생이 영호에게 지인을 소개했습니다 .

철수야 , 이 학생이 민주에게 후배를 소개했어 .
철수야 , 이 학생이 민주에게 후배를 소개했어요 .
철수야 , 이 학생이 민주에게 후배를 소개했습니다 .

철수야 , 이 학생이 민주에게 동생을 소개했어 .
철수야 , 이 학생이 민주에게 동생을 소개했어요 .
철수야 , 이 학생이 민주에게 동생을 소개했습니다 .

철수야 , 이 학생이 민주에게 친구를 소개했어 .
철수야 , 이 학생이 민주에게 친구를 소개했어요 .
철수야 , 이 학생이 민주에게 친구를 소개했습니다 .

철수야 , 이 학생이 민주에게 지인을 소개했어 .
철수야 , 이 학생이 민주에게 지인을 소개했어요 .
철수야 , 이 학생이 민주에게 지인을 소개했습니다 .

철수야 , 이 학생이 지우에게 후배를 소개했어 .
철수야 , 이 학생이 지우에게 후배를 소개했어요 .
철수야 , 이 학생이 지우에게 후배를 소개했습니다 .

철수야 , 이 학생이 지우에게 동생을 소개했어 .
철수야 , 이 학생이 지우에게 동생을 소개했어요 .
철수야 , 이 학생이 지우에게 동생을 소개했습니다 .

철수야 , 이 학생이 지우에게 친구를 소개했어 .
철수야 , 이 학생이 지우에게 친구를 소개했어요 .
철수야 , 이 학생이 지우에게 친구를 소개했습니다 .

철수야 , 이 학생이 지우에게 지인을 소개했어 .
철수야 , 이 학생이 지우에게 지인을 소개했어요 .
철수야 , 이 학생이 지우에게 지인을 소개했습니다 .

철수야 , 그 아이가 현우에게 후배를 소개했어 .
철수야 , 그 아이가 현우에게 후배를 소개했어요 .
철수야 , 그 아이가 현우에게 후배를 소개했습니다 .

철수야 , 그 아이가 현우에게 동생을 소개했어 .
철수야 , 그 아이가 현우에게 동생을 소개했어요 .
철수야 , 그 아이가 현우에게 동생을 소개했습니다 .

