철수야 , 이 학생이 할머니께 의원님을 소개했어 .
철수야 , 이 학생이 할머니께 의원님을 소개했어요 .
철수야 , 이 학생이 할머니께 의원님을 소개했습니다 .

철수야 , 이 학생이 할머니께 시장님을 소개했어 .
철수야 , 이 학생이 할머니께 시장님을 소개했어요 .
철수야 , 이 학생이 할머니께 시장님을 소개했습니다 .

철수야 , 이 학생이 할머니께 사장님을 소개했어 .
철수야 , 이 학생이 할머니께 사장님을 소개했어요 .
철수야 , 이 학생이 할머니께 사장님을 소개했습니다 .

철수야 , 이 학생이 할머니께 작가님을 소개했어 .
철수야 , 이 학생이 할머니께 작가님을 소개했어요 .
철수야 , 이 학생이 할머니께 작가님을 소개했습니다 .

철수야 , 이 학생이 아버지께 의원님을 소개했어 .
철수야 , 이 학생이 아버지께 의원님을 소개했어요 .
철수야 , 이 학생이 아버지께 의원님을 소개했습니다 .

철수야 , 이 학생이 아버지께 시장님을 소개했어 .
철수야 , 이 학생이 아버지께 시장님을 소개했어요 .
철수야 , 이 학생이 아버지께 시장님을 소개했습니다 .

철수야 , 이 학생이 아버지께 사장님을 소개했어 .
철수야 , 이 학생이 아버지께 사장님을 소개했어요 .
철수야 , 이 학생이 아버지께 사장님을 소개했습니다 .

철수야 , 이 학생이 아버지께 작가님을 소개했어 .
철수야 , 이 학생이 아버지께 작가님을 소개했어요 .
철수야 , 이 학생이 아버지께 작가님을 소개했습니다 .

철수야 , 이 학생이 교수님께 의원님을 소개했어 .
철수야 , 이 학생이 교수님께 의원님을 소개했어요 .
철수야 , 이 학생이 교수님께 의원님을 소개했습니다 .

철수야 , 이 학생이 교수님께 시장님을 소개했어 .
철수야 , 이 학생이 교수님께 시장님을 소개했어요 .
철수야 , 이 학생이 교수님께 시장님을 소개했습니다 .

철수야 , 이 학생이 교수님께 사장님을 소개했어 .
철수야 , 이 학생이 교수님께 사장님을 소개했어요 .
철수야 , 이 학생이 교수님께 사장님을 소개했습니다 .

철수야 , 이 학생이 교수님께 작가님을 소개했어 .
철수야 , 이 학생이 교수님께 작가님을 소개했어요 .
철수야 , 이 학생이 교수님께 작가님을 소개했습니다 .

